rank,eng,deu,fra,ita,nld,por,spa
387,property,Eigentum,propriété,proprietà,eigendom,propriedade,propiedad
391,money,Geld,argent,denaro,geld,dinheiro,dinero
392,quality,Qualität,qualité,qualità,kwaliteit,qualidade,calidad
396,country,Land,pays,paese,land,país,país
397,private,privat,privé,privato,privé,privado,privado
398,little,klein,petit,piccolo,klein,pequeno,pequeño
399,visit,besuchen,visiter,visitare,bezoeken,visitar,visitar
401,tool,Werkzeug,outil,strumento,gereedschap,ferramenta,herramienta
402,low,niedrig,bas,basso,laag,baixo,bajo
404,customer,Kunde,client,cliente,klant,cliente,cliente
406,compare,vergleichen,comparer,comparare,vergelijken,comparar,comparar
407,movie,Film,film,film,film,filme,película
409,college,Hochschule,université,università,hogeschool,faculdade,universidad
411,article,Artikel,article,articolo,artikel,artigo,artículo
413,man,Mann,homme,uomo,man,homem,hombre
418,food,Essen,nourriture,cibo,voedsel,comida,comida
419,source,Quelle,source,fonte,bron,fonte,fuente
420,author,Autor,auteur,autore,auteur,autor,autor
421,different,verschieden,différent,diverso,verschillend,diferente,diferente
424,learn,lernen,apprendre,imparare,leren,aprender,aprender
425,sale,Verkauf,vente,vendita,verkoop,venda,venta
427,print,drucken,imprimer,stampare,drukken,imprimir,imprimir
428,course,Kurs,cours,corso,cursus,curso,curso
429,job,Arbeit,travail,lavoro,baan,trabalho,trabajo
431,process,Prozess,processus,processo,proces,processo,proceso
433,room,Zimmer,pièce,stanza,kamer,quarto,habitación
435,training,Ausbildung,formation,formazione,opleiding,formação,formación
437,credit,Kredit,crédit,credito,krediet,crédito,crédito
439,join,beitreten,rejoindre,unirsi,deelnemen,juntar-se,unirse
440,science,Wissenschaft,science,scienza,wetenschap,ciência,ciencia
443,advanced,fortgeschritten,avancé,avanzato,gevorderd,avançado,avanzado
444,west,Westen,ouest,ovest,westen,oeste,oeste
448,left,links,gauche,sinistra,links,esquerda,izquierda
449,team,Mannschaft,équipe,squadra,team,equipa,equipo
452,condition,Bedingung,condition,condizione,voorwaarde,condição,condición
453,select,auswählen,sélectionner,selezionare,selecteren,selecionar,seleccionar
455,photos,Foto,photo,foto,foto,foto,foto
457,thread,Faden,fil,filo,draad,fio,hilo
458,week,Woche,semaine,settimana,week,semana,semana
459,category,Kategorie,catégorie,categoria,categorie,categoria,categoría
463,gallery,Galerie,galerie,galleria,galerij,galeria,galería
464,table,Tisch,table,tavolo,tafel,mesa,mesa
470,market,Markt,marché,mercato,markt,mercado,mercado
473,action,Handlung,action,azione,actie,ação,acción
478,air,Luft,air,aria,lucht,ar,aire
479,industry,Industrie,industrie,industria,industrie,indústria,industria
481,human,Mensch,humain,umano,mens,humano,humano
486,second,Sekunde,seconde,secondo,seconde,segundo,segundo
487,hot,heiß,chaud,caldo,heet,quente,caliente
489,cost,Kosten,coût,costo,kosten,custo,coste
490,movie,Film,film,film,film,filme,película
496,say,sagen,dire,dire,zeggen,dizer,decir
501,medical,medizinisch,médical,medico,medisch,médico,médico
502,test,Test,test,test,test,teste,test
503,friend,Freund,ami,amico,vriend,amigo,amigo
504,come,kommen,venir,venire,komen,vir,venir
506,server,Server,serveur,server,server,servidor,servidor
508,study,studieren,étudier,studiare,studeren,estudar,estudiar
510,cart,Wagen,chariot,carrello,kar,carrinho,carrito
511,staff,Personal,personnel,personale,personeel,pessoal,personal
514,feedback,Feedback,feedback,feedback,feedback,feedback,feedback
516,play,spielen,jouer,giocare,spelen,jogar,jugar
523,street,Straße,rue,strada,straat,rua,calle
525,comment,Kommentar,commentaire,commento,commentaar,comentário,comentario
526,financial,finanziell,financier,finanziario,financieel,financeiro,financiero
530,standard,Standard,standard,standard,standaard,padrão,estándar
531,tax,Steuer,impôt,tassa,belasting,imposto,impuesto
532,person,Person,personne,persona,persoon,pessoa,persona
534,mobile,mobil,mobile,mobile,mobiel,móvel,móvil
537,blog,Blog,blog,blog,blog,blogue,blog
538,party,Party,fête,festa,feest,festa,fiesta
539,payment,Zahlung,paiement,pagamento,betaling,pagamento,pago
540,equipment,Ausrüstung,équipement,attrezzatura,uitrusting,equipamento,equipo
541,login,Login,connexion,accesso,login,login,login
542,student,Student,étudiant,studente,student,estudante,estudiante
546,legal,rechtlich,légal,legale,wettelijk,legal,legal
548,recent,kürzlich,récent,recente,recent,recente,reciente
551,side,Seite,côté,lato,kant,lado,lado
553,problem,Problem,problème,problema,probleem,problema,problema
554,red,rot,rouge,rosso,rood,vermelho,rojo
555,give,geben,donner,dare,geven,dar,dar
556,memory,Erinnerung,mémoire,memoria,herinnering,memória,memoria
558,social,sozial,social,sociale,sociaal,social,social
562,language,Sprache,langue,lingua,taal,língua,idioma
563,story,Geschichte,histoire,storia,verhaal,história,historia
564,sell,verkaufen,vendre,vendere,verkopen,vender,vender
566,experience,Erfahrung,expérience,esperienza,ervaring,experiência,experiencia
568,create,erschaffen,créer,creare,creëren,criar,crear
570,body,Körper,corps,corpo,lichaam,corpo,cuerpo
571,young,jung,jeune,giovane,jong,jovem,joven
573,important,wichtig,important,importante,belangrijk,importante,importante
574,field,Feld,champ,campo,veld,campo,campo
576,east,Osten,est,est,oosten,leste,este
577,paper,Papier,papier,carta,papier,papel,papel
578,single,einzeln,unique,singolo,enkel,único,único
580,age,Alter,âge,età,leeftijd,idade,edad
582,club,Klub,club,club,club,clube,club
583,example,Beispiel,exemple,esempio,voorbeeld,exemplo,ejemplo
584,girls,Mädchen,fille,ragazza,meisje,menina,niña
586,password,Passwort,mot de passe,password,wachtwoord,palavra-passe,contraseña
590,road,Straße,route,strada,weg,estrada,carretera
591,gift,Geschenk,cadeau,regalo,cadeau,presente,regalo
592,question,Frage,question,domanda,vraag,pergunta,pregunta
594,night,Nacht,nuit,notte,nacht,noite,noche
599,pay,bezahlen,payer,pagare,betalen,pagar,pagar
601,poker,Poker,poker,poker,poker,póquer,póker
603,browse,stöbern,parcourir,sfogliare,bladeren,navegar,navegar
606,building,Gebäude,bâtiment,edificio,gebouw,edifício,edificio
607,seller,Verkäufer,vendeur,venditore,verkoper,vendedor,vendedor
608,court,Gericht,tribunal,tribunale,rechtbank,tribunal,tribunal
611,result,Ergebnis,résultat,risultato,resultaat,resultado,resultado
612,audio,Audio,audio,audio,audio,áudio,audio
614,write,schreiben,écrire,scrivere,schrijven,escrever,escribir
615,war,Krieg,guerre,guerra,oorlog,guerra,guerra
617,offer,Angebot,offre,offerta,aanbod,oferta,oferta
618,blue,blau,bleu,blu,blauw,azul,azul
621,easy,einfach,facile,facile,gemakkelijk,fácil,fácil
623,files,Datei,fichier,file,bestand,ficheiro,archivo
624,event,Ereignis,événement,evento,gebeurtenis,evento,evento
626,analysis,Analyse,analyse,analisi,analyse,análise,análisis
627,request,Anfrage,demande,richiesta,verzoek,pedido,solicitud
628,fax,Fax,fax,fax,fax,fax,fax
631,picture,Bild,image,immagine,afbeelding,imagem,imagen
633,possible,möglich,possible,possibile,mogelijk,possível,posible
635,professional,professionell,professionnel,professionale,professioneel,profissional,profesional
637,month,Monat,mois,mese,maand,mês,mes
640,areas,Gebiet,zone,zona,gebied,área,área
641,future,Zukunft,avenir,futuro,toekomst,futuro,futuro
642,space,Raum,espace,spazio,ruimte,espaço,espacio
643,committee,Ausschuss,comité,comitato,commissie,comité,comité
644,hand,Hand,main,mano,hand,mão,mano
645,sun,Sonne,soleil,sole,zon,sol,sol
646,cards,Karte,carte,carta,kaart,cartão,tarjeta
647,problems,Problem,problème,problema,probleem,problema,problema
650,meeting,Treffen,réunion,riunione,vergadering,reunião,reunión
652,become,werden,devenir,diventare,worden,tornar-se,convertirse
655,child,Kind,enfant,bambino,kind,criança,niño
656,keep,behalten,garder,tenere,houden,manter,guardar
657,enter,eintreten,entrer,entrare,binnenkomen,entrar,entrar
660,share,teilen,partager,condividere,delen,partilhar,compartir
661,similar,ähnlich,similaire,simile,vergelijkbaar,semelhante,similar
662,garden,Garten,jardin,giardino,tuin,jardim,jardín
663,schools,Schule,école,scuola,school,escola,escuela
666,reference,Referenz,référence,riferimento,referentie,referência,referencia
667,companies,Unternehmen,entreprise,azienda,bedrijf,empresa,empresa
669,baby,Baby,bébé,bebè,baby,bebé,bebé
670,learning,Lernen,apprentissage,apprendimento,leren,aprendizagem,aprendizaje
671,energy,Energie,énergie,energia,energie,energia,energía
673,delivery,Lieferung,livraison,consegna,levering,entrega,entrega
675,popular,beliebt,populaire,popolare,populair,popular,popular
677,film,Film,film,film,film,filme,película
678,stories,Geschichte,histoire,storia,verhaal,história,historia
680,computers,Computer,ordinateur,computer,computer,computador,ordenador
682,reports,Bericht,rapport,rapporto,rapport,relatório,informe
684,try,versuchen,essayer,provare,proberen,tentar,intentar
686,central,zentral,central,centrale,centraal,central,central
687,images,Bild,image,immagine,afbeelding,imagem,imagen
689,notice,Mitteilung,avis,avviso,bericht,aviso,aviso
691,original,ursprünglich,original,originale,oorspronkelijk,original,original
692,head,Kopf,tête,testa,hoofd,cabeça,cabeza
693,radio,Radio,radio,radio,radio,rádio,radio
696,color,Farbe,couleur,colore,kleur,cor,color
700,includes,enthalten,inclure,includere,bevatten,incluir,incluir
703,discussion,Diskussion,discussion,discussione,discussie,discussão,discusión
704,archive,Archiv,archive,archivio,archief,arquivo,archivo
707,entertainment,Unterhaltung,divertissement,intrattenimento,vermaak,entretenimento,entretenimiento
708,agreement,Vereinbarung,accord,accordo,overeenkomst,acordo,acuerdo
709,format,Format,format,formato,formaat,formato,formato
711,society,Gesellschaft,société,società,maatschappij,sociedade,sociedad
714,safety,Sicherheit,sécurité,sicurezza,veiligheid,segurança,seguridad
718,trade,Handel,commerce,commercio,handel,comércio,comercio
719,edition,Ausgabe,édition,edizione,editie,edição,edición
722,marketing,Marketing,marketing,marketing,marketing,marketing,marketing
723,tell,erzählen,raconter,raccontare,vertellen,contar,contar
731,fun,Spaß,amusement,divertimento,plezier,diversão,diversión
733,green,grün,vert,verde,groen,verde,verde
736,common,häufig,commun,comune,gewoon,comum,común
738,specific,spezifisch,spécifique,specifico,specifiek,específico,específico
740,gold,Gold,or,oro,goud,ouro,oro
744,collection,Sammlung,collection,collezione,verzameling,coleção,colección
746,short,kurz,court,corto,kort,curto,corto
749,ask,fragen,demander,chiedere,vragen,perguntar,preguntar
751,limited,begrenzt,limité,limitato,beperkt,limitado,limitado
755,director,Direktor,directeur,direttore,directeur,diretor,director
757,beach,Strand,plage,spiaggia,strand,praia,playa
759,natural,natürlich,naturel,naturale,natuurlijk,natural,natural
763,electronics,Elektronik,électronique,elettronica,elektronica,eletrónica,electrónica
766,period,Zeitraum,période,periodo,periode,período,período
767,planning,Planung,planification,pianificazione,planning,planeamento,planificación
768,database,Datenbank,base de données,database,database,base de dados,base de datos
770,official,offiziell,officiel,ufficiale,officieel,oficial,oficial
771,weather,Wetter,temps,tempo,weer,tempo,tiempo
773,land,Land,terre,terra,land,terra,tierra
774,average,Durchschnitt,moyenne,media,gemiddelde,média,promedio
776,technical,technisch,technique,tecnico,technisch,técnico,técnico
777,window,Fenster,fenêtre,finestra,raam,janela,ventana
780,region,Region,région,regione,regio,região,región
781,island,Insel,île,isola,eiland,ilha,isla
785,conference,Konferenz,conférence,conferenza,conferentie,conferência,conferencia
786,environment,Umwelt,environnement,ambiente,milieu,ambiente,ambiente
789,district,Bezirk,district,distretto,district,distrito,distrito
790,calendar,Kalender,calendrier,calendario,kalender,calendário,calendario
795,statement,Aussage,déclaration,dichiarazione,verklaring,declaração,declaración
796,update,aktualisieren,mettre à jour,aggiornare,bijwerken,atualizar,actualizar
801,early,früh,tôt,presto,vroeg,cedo,temprano
803,sound,Klang,son,suono,geluid,som,sonido
804,resource,Ressource,ressource,risorsa,bron,recurso,recurso
809,document,Dokument,document,documento,document,documento,documento
810,word,Wort,mot,parola,woord,palavra,palabra
812,material,Material,matériau,materiale,materiaal,material,material
815,written,geschrieben,écrit,scritto,geschreven,escrito,escrito
816,talk,sprechen,parler,parlare,praten,falar,hablar
817,federal,föderal,fédéral,federale,federaal,federal,federal
818,hosting,Hosting,hébergement,hosting,hosting,alojamento,alojamiento
820,final,endgültig,final,finale,definitief,final,final
821,adult,erwachsen,adulte,adulto,volwassen,adulto,adulto
824,centre,Zentrum,centre,centro,centrum,centro,centro
827,cheap,billig,bon marché,economico,goedkoop,barato,barato
828,nude,nackt,nu,nudo,naakt,nu,desnudo
830,finance,Finanzen,finance,finanza,financiën,finança,finanzas
831,true,wahr,vrai,vero,waar,verdadeiro,verdadero
832,minutes,Minute,minute,minuto,minuut,minuto,minuto
837,gifts,Geschenk,cadeau,regalo,cadeau,presente,regalo
841,bad,schlecht,mauvais,cattivo,slecht,mau,malo
843,tips,Tipp,conseil,consiglio,tip,dica,consejo
850,videos,Video,vidéo,video,video,vídeo,vídeo
854,fact,Tatsache,fait,fatto,feit,facto,hecho
861,economic,wirtschaftlich,économique,economico,economisch,económico,económico
864,projects,Projekt,projet,progetto,project,projeto,proyecto
865,lyrics,Liedtext,parole,testo,songtekst,letra,letra
868,submit,einreichen,soumettre,sottoporre,indienen,submeter,enviar
871,watch,Uhr,montre,orologio,horloge,relógio,reloj
873,feel,fühlen,sentir,sentire,voelen,sentir,sentir
881,words,Wort,mot,parola,woord,palavra,palabra
884,production,Produktion,production,produzione,productie,produção,producción
887,weight,Gewicht,poids,peso,gewicht,peso,peso
888,town,Stadt,ville,città,stad,cidade,ciudad
889,heart,Herz,cœur,cuore,hart,coração,corazón
890,advertising,Werbung,publicité,pubblicità,reclame,publicidade,publicidad
892,choose,wählen,choisir,scegliere,kiezen,escolher,elegir
893,treatment,Behandlung,traitement,trattamento,behandeling,tratamento,tratamiento
894,newsletter,Newsletter,newsletter,newsletter,nieuwsbrief,boletim,boletín
897,knowledge,Wissen,connaissance,conoscenza,kennis,conhecimento,conocimiento
898,magazine,Zeitschrift,magazine,rivista,tijdschrift,revista,revista
899,error,Fehler,erreur,errore,fout,erro,error
900,camera,Kamera,appareil photo,macchina fotografica,camera,câmara,cámara
902,girl,Mädchen,fille,ragazza,meisje,menina,chica
904,construction,Bau,construction,costruzione,bouw,construção,construcción
905,toys,Spielzeug,jouet,giocattolo,speelgoed,brinquedo,juguete
908,golf,Golf,golf,golf,golf,golfe,golf
909,receive,erhalten,recevoir,ricevere,ontvangen,receber,recibir
911,methods,Methode,méthode,metodo,methode,método,método
912,chapter,Kapitel,chapitre,capitolo,hoofdstuk,capítulo,capítulo
914,protection,Schutz,protection,protezione,bescherming,proteção,protección
916,loan,Darlehen,prêt,prestito,lening,empréstimo,préstamo
918,beauty,Schönheit,beauté,bellezza,schoonheid,beleza,belleza
919,manager,Manager,manager,manager,manager,gerente,gerente
921,position,Position,position,posizione,positie,posição,posición
925,models,Modell,modèle,modello,model,modelo,modelo
928,half,Hälfte,moitié,metà,helft,metade,mitad
929,cases,Fall,cas,caso,geval,caso,caso
930,step,Schritt,pas,passo,stap,passo,paso
931,engineering,Ingenieurwesen,ingénierie,ingegneria,techniek,engenharia,ingeniería
933,simple,einfach,simple,semplice,eenvoudig,simples,simple
934,quick,schnell,rapide,rapido,snel,rápido,rápido
937,license,Lizenz,licence,licenza,licentie,licença,licencia
940,lake,See,lac,lago,meer,lago,lago
942,annual,jährlich,annuel,annuale,jaarlijks,anual,anual
945,basic,grundlegend,basique,basilare,basis,básico,básico
950,church,Kirche,église,chiesa,kerk,igreja,iglesia
951,method,Methode,méthode,metodo,methode,método,método
952,purchase,Kauf,achat,acquisto,aankoop,compra,compra
953,customers,Kunde,client,cliente,klant,cliente,cliente
956,practice,Übung,pratique,pratica,oefening,prática,práctica
957,hardware,Hardware,matériel,hardware,hardware,hardware,hardware
959,materials,Material,matériau,materiale,materiaal,material,material
960,fire,Feuer,feu,fuoco,vuur,fogo,fuego
961,holiday,Feiertag,jour férié,festività,feestdag,feriado,festivo
962,chat,plaudern,bavarder,chiacchierare,kletsen,conversar,charlar
967,death,Tod,mort,morte,dood,morte,muerte
968,writing,Schrift,écriture,scrittura,schrift,escrita,escritura
969,speed,Geschwindigkeit,vitesse,velocità,snelheid,velocidade,velocidad
971,countries,Land,pays,paese,land,país,país
972,loss,Verlust,perte,perdita,verlies,perda,pérdida
973,face,Gesicht,visage,viso,gezicht,rosto,cara
975,discount,Rabatt,remise,sconto,korting,desconto,descuento
979,remember,erinnern,retenir,ricordare,herinneren,lembrar,recordar
981,oil,Öl,huile,olio,olie,óleo,aceite
983,yellow,gelb,jaune,giallo,geel,amarelo,amarillo
984,political,politisch,politique,politico,politiek,político,político
985,increase,erhöhen,augmenter,aumentare,verhogen,aumentar,aumentar
986,advertise,werben,annoncer,pubblicizzare,adverteren,anunciar,anunciar
987,kingdom,Königreich,royaume,regno,koninkrijk,reino,reino
990,environmental,ökologisch,environnemental,ambientale,ecologisch,ambiental,ambiental
991,thought,Gedanke,pensée,pensiero,gedachte,pensamento,pensamiento
994,storage,Lagerung,stockage,deposito,opslag,armazenamento,almacenamiento
998,loans,Darlehen,prêt,prestito,lening,empréstimo,préstamo
999,shoes,Schuh,chaussure,scarpa,schoen,sapato,zapato
1000,entry,Eintrag,entrée,ingresso,ingang,entrada,entrada
1001,stay,bleiben,rester,restare,blijven,ficar,quedarse
1002,nature,Natur,nature,natura,natuur,natureza,naturaleza
1003,orders,Bestellung,commande,ordine,bestelling,encomenda,pedido
1004,availability,Verfügbarkeit,disponibilité,disponibilità,beschikbaarheid,disponibilidade,disponibilidad
1006,summary,Zusammenfassung,résumé,riassunto,samenvatting,resumo,resumen
1009,growth,Wachstum,croissance,crescita,groei,crescimento,crecimiento
1010,notes,Notiz,note,nota,notitie,nota,nota
1011,agency,Agentur,agence,agenzia,bureau,agência,agencia
1012,king,König,roi,re,koning,rei,rey
1014,european,europäisch,européen,europeo,Europees,europeu,europeo
1015,activity,Tätigkeit,activité,attività,activiteit,atividade,actividad
1016,copy,Kopie,copie,copia,kopie,cópia,copia
1018,drug,Medikament,médicament,farmaco,medicijn,medicamento,medicamento
1020,western,westlich,occidental,occidentale,westers,ocidental,occidental
1021,income,Einkommen,revenu,reddito,inkomen,rendimento,ingreso
1023,cash,Bargeld,espèces,contanti,contanten,dinheiro,efectivo
1024,employment,Beschäftigung,emploi,impiego,werk,emprego,empleo
1027,river,Fluss,fleuve,fiume,rivier,rio,río
1030,package,Paket,paquet,pacco,pakket,pacote,paquete
1034,engine,Motor,moteur,motore,motor,motor,motor
1036,album,Album,album,album,album,álbum,álbum
1037,regional,regional,régional,regionale,regionaal,regional,regional
1038,stop,anhalten,arrêter,fermare,stoppen,parar,parar
1041,administration,Verwaltung,administration,amministrazione,administratie,administração,administración
1046,double,doppelt,double,doppio,dubbel,duplo,doble
1047,dog,Hund,chien,cane,hond,cão,perro
1049,screen,Bildschirm,écran,schermo,scherm,ecrã,pantalla
1050,exchange,Austausch,échange,scambio,uitwisseling,troca,intercambio
1054,lines,Linie,ligne,linea,lijn,linha,línea
1055,electronic,elektronisch,électronique,elettronico,elektronisch,eletrónico,electrónico
1056,continue,fortsetzen,continuer,continuare,doorgaan,continuar,continuar
1058,benefits,Vorteil,avantage,vantaggio,voordeel,benefício,beneficio
1060,season,Jahreszeit,saison,stagione,seizoen,estação,estación
1061,apply,bewerben,postuler,candidarsi,solliciteren,candidatar,solicitar
1066,printer,Drucker,imprimante,stampante,printer,impressora,impresora
1068,effective,wirksam,efficace,efficace,effectief,eficaz,eficaz
1069,believe,glauben,croire,credere,geloven,acreditar,creer
1070,organization,Organisation,organisation,organizzazione,organisatie,organização,organización
1076,selection,Auswahl,sélection,selezione,selectie,seleção,selección
1077,casino,Kasino,casino,casinò,casino,casino,casino
1080,tour,Tour,tour,tour,tour,excursão,tour
1081,menu,Speisekarte,menu,menu,menu,menu,menú
1085,mortgage,Hypothek,hypothèque,ipoteca,hypotheek,hipoteca,hipoteca
1086,hope,Hoffnung,espoir,speranza,hoop,esperança,esperanza
1087,silver,Silber,argent,argento,zilver,prata,plata
1088,corporation,Konzern,société,società,onderneming,empresa,corporación
1089,wish,Wunsch,souhait,desiderio,wens,desejo,deseo
1091,solution,Lösung,solution,soluzione,oplossing,solução,solución
1092,mature,reif,mûr,maturo,volwassen,maduro,maduro
1096,addition,Hinzufügung,addition,aggiunta,toevoeging,adição,adición
1098,supply,Versorgung,approvisionnement,fornitura,bevoorrading,fornecimento,suministro
1102,executive,Führungskraft,cadre,dirigente,leidinggevende,executivo,ejecutivo
1105,necessary,notwendig,nécessaire,necessario,noodzakelijk,necessário,necesario
1106,union,Gewerkschaft,syndicat,sindacato,vakbond,sindicato,sindicato
1107,jewelry,Schmuck,bijou,gioiello,sieraad,joia,joya
1110,clothing,Kleidung,vêtement,abbigliamento,kleding,vestuário,ropa
1114,fine,fein,fin,fine,fijn,fino,fino
1118,hour,Stunde,heure,ora,uur,hora,hora
1119,gas,Gas,gaz,gas,gas,gás,gas
1124,advice,Ratschlag,conseil,consiglio,advies,conselho,consejo
1125,career,Karriere,carrière,carriera,carrière,carreira,carrera
1126,military,militärisch,militaire,militare,militair,militar,militar
1127,rental,Miete,location,affitto,verhuur,aluguer,alquiler
1128,decision,Entscheidung,décision,decisione,beslissing,decisão,decisión
1129,leave,verlassen,partir,partire,vertrekken,partir,salir
1133,huge,riesig,énorme,enorme,enorm,enorme,enorme
